MovieID,MovieName,PubYear
153,The Wizard of Oz,1939
174,There Will Be Blood,2007
248,Three Colors: Red,1994
71,To Kill a Mockingbird,1962
136,Touch of Evil,1958
112,Toy Story,1995
65,Toy Story 3,2010
155,Trainspotting,1996
2345,Twelve Monkeys,1995
99,Unforgiven,1992
116,Up,2009
161,V for Vendetta,2005
53,Vertigo,1958
63,WALLE,2008
160,Warrior,2011
205,Who's Afraid of Virginia Woolf?,1966
129,Wild Strawberries,1957
100,Witness for the Prosecution,1957
107,Yojimbo,1961
8132,Zizza the Math Professor,1986
